Item,Quantity_Sales,Amount_Sales,Quantity_Purchases,Amount_Purchases
BRITANNIA TIGER GLUCOSE 250G,8.0,200.0,0,0
BRITANNIA TIGER GLUCOSE 115G,19.0,190.0,10,88.3
BRITANNIA MILK RUSK 200G,1.0,35.0,12,375.72
BRITANNIA TOASTEA RUSK 300G,30.0,1500.0,36,"1,609.92"
BRITANNIA CAKE GOBBLES CHOCO 115,5.0,150.0,15,402.45
BRITANNIA  GOBBLES FRUITY 110G,1.0,30.0,6,160.98
MARBLE CAKE RED VELVET,1.0,30.0,0,0
BRITANNIA BISCAFE,12.0,360.0,12,321.96
BRITANNIA CAKE MARBLE CAKE 110G,1.0,30.0,6,163.98
BRITANNIA GOBBLES MARBLE CAKE RE,15.0,450.0,9,245.97
BRITANNIA DAIRY WHITENER 20G,2.0,20.0,0,0
HERSHEYS SPREADS COCOA 150G,1.0,170.0,0,0
LOLLIPUP 1PAC,3.0,15.0,0,0
LOTTE JELLY LOLY,1.0,10.0,0,0
MALKIST CHEES 50RS,9.0,450.0,0,0
LOTTE CHOCO PIE 450G,4.0,720.0,11,"1,675.03"
LOTTE COFFY BITE 190 G,2.0,100.0,6,264
LOTTE  LACTO KING 440G,5.0,500.0,4,340
MALKIST CHOCO 50RS,10.0,500.0,0,0
LOTTE CHOCO PIE 6 PIC 168G,4.0,330.0,6,540
CADBURY SHOTS 9G,25.0,125.0,0,0
GEMS 21.36G,42.0,420.0,64,558.08
CADBARY OREO VANILLA 120G,14.0,490.0,0,0
CADBURY DAIRY MILK CRACKLE,1.0,45.0,0,0
CADBURY OREO VANILLA 120G,37.0,1295.0,24,763.44
CADBARY OREO CHOCOLATE  120G,13.0,455.0,0,0
CADBURY OREO CHOCOLATE  120G,57.0,1995.0,24,763.44
CADBARY OREO STRAWBERRY 120G,8.0,245.0,0,0
CADBARY DAIRY MILK ROAST ALMOND,2.0,90.0,0,0
CADBURY DAIRY MILK SHOTS,2.0,20.0,0,0
CADBURY DAIRY MILK SLIK CHOCOLAT,3.0,510.0,0,0
CADBARY DAIRY MILK CHOCOLATE 13,1.0,100.0,0,0
CADBARY DAIRY MILK CHOCO 6.3G,2.0,10.0,0,0
CADBURY DAIRY MILK CHOCO 6.3G,70.0,350.0,216,980.64
CADBARY DAIRY MILK CHOCO 12.5G,38.0,380.0,0,0
CADBURY DAIRY MILK CHOCO 12.5G,294.0,2940.0,112,"1,018.08"
CADBURY DAIRY MILK CRISPELLO,3.0,90.0,0,0
CADBURY DAIRY MILK SILK BUBBLY 50,1.0,85.0,6,455.4
CADBARY SILK OREO RED VELVET 50G,4.0,320.0,0,0
AMUL BUTTER 100G,45.0,2492.0,0,0
AMUL BUTTER UNSALT 100G,1.0,55.0,12,622.8
AMUL CHEESE 200G,1.0,140.0,12,"1,560.00"
AMUL CHEESE 100 GM,1.0,78.0,0,0
AMULYA DAIRY WHITENER 1KG,2.0,860.0,0,0
AMULYA DAIRY WHITENER 500G,1.0,223.0,0,0
AMUL MITHAIMATE 200G,2.0,125.0,6,354
AMUL MITHAIMATE 400G,5.0,580.0,6,633.36
AMUL FRESH CREAM 250ML,6.0,390.0,6,380.1
AMUL BUTTERSCOTCH 2 LIT,2.0,650.0,10,"2,700.00"
AMUL VANILLA 1LIT,1.0,195.0,2,324
AMUL CHOCOBAR PROBITIC FOLD,22.0,460.0,56,"1,129.92"
AMUL BOMBAY KULFI 1PIC,3.0,75.0,0,0
AMUL BUTTERSCOTCH CONE 1PIC,19.0,665.0,20,578
EASTERN CHICKEN MASALA 100G,1.0,47.0,0,0
EASTERN MEAT MASALA 100G,2.0,96.0,0,0
EASTERN KASHMIRI CHILLI 100G,8.0,607.0,10,553.7
LAYS CREAM & ONION 115G,3.0,150.0,0,0
LAYS TOMATO TANGO 115G,2.0,100.0,12,550.56
LAYS CREAAM & ONION 73G,29.0,870.0,16,445.6
LAYS SIZZLIN  HOT 50G,1.0,20.0,10,185.7
KURKURE MASALA MUNCH 85G,10.0,200.0,6,111.42
LAYS CREAM & ONION 50G,48.0,960.0,30,557.1
LAYS TOMATO TANGO 50G,40.0,800.0,30,557.1
LAYS CLASSIC SALTED 50G,6.0,120.0,10,185.7
KURKURE GREEN CHUTNEY 47G,12.0,120.0,10,91.1
KURKURE GREEN CHUTNEY STYLE 94G,8.0,160.0,6,111.42
CHEETOS MASALA BALLS 32G,2.0,20.0,0,0
KURKURE NAUGHTY TOMATO  85G,24.0,480.0,16,297.12
QUAKER OATS PAC 400G,11.0,869.0,0,0
QUAKER OATS PAC 1KG,6.0,1194.0,3,547.68
CHEETOS CHEESE BALLS,10.0,100.0,0,0
KURKURE MASALA MUNCH,7.0,70.0,20,182.2
KURKURE CHILLI CHATKA,12.0,120.0,30,273.3
LAYS  MAGIC MASALA 24G,1.0,10.0,0,0
LAYS CREAM & ONION 24G,171.0,1710.0,80,728.8
LAYS TOMATO TANGO 24G,81.0,810.0,50,455.5
LAYS HOT N SWEET CHILLI 50G,47.0,940.0,30,557.1
LAYS WAFER STYLE 50G,9.0,180.0,0,0
QUAKER OATS PAC 600G,16.0,1904.0,0,0
LAYS MAXX MACHO CHILLI 22.5G,6.0,60.0,10,90.9
FRU ORANGE SQUASH 700ML,1.0,110.0,12,"1,102.08"
FRU PASSION FRUIT SEED SQUASH 700M,3.0,525.0,12,"1,740.00"
FRU TOMATO SAUCE 200G,1.0,40.0,12,388.44
FRU TOMATO SAUCE 1KG,1.0,95.0,12,840
FRU SOYABEAN SAUCE 800G,1.0,86.0,6,403.2
FRU 8 TO 8 SAUCE 200G,1.0,38.0,0,0
FRU GRAPE SQUASH 700ML,3.0,360.0,6,598.08
FRU PINEAPPLE JAM 100G,14.0,322.0,0,0
FRU PINEAPPLE JAM 200G,37.0,1850.0,48,"1,994.40"
FRU MIXED FRUIT JAM 100G,7.0,161.0,0,0
FRU MIXED FRUIT JAM 200G,9.0,450.0,0,0
FRU PINEAPPLE SQUASH 700ML,5.0,500.0,24,"1,989.12"
FRU GREEN CHILLI SAUCE 200G,1.0,40.0,0,0
CORN FLAKES 100G,1.0,49.0,0,0
KELLOGGS CHOCOS  CHHOTA LADDOO 2,3.0,30.0,0,0
ACT-II-CLASSIC SALTED 40G,2.0,20.0,30,275.1
ACT-II-GOLDEN SIZZLE 41G,2.0,20.0,0,0
ACT-II-CHILY SUPRE 30G,7.0,84.0,15,165
ACT TOMATO CHILLI,1.0,25.0,0,0
ACT BUTTER,3.0,75.0,0,0
SANDROP PASTA WITH RED SAUCE,1.0,30.0,0,0
GLUCON-D REGULAR 100G,1.0,31.0,12,334.8
SUMERU GREEN PEAS 200G,1.0,65.0,0,0
PARLE HIDE AND SEEK 100G,33.0,990.0,12,327.12
PARLE 20-20 BUTTER COOKIES  150G,35.0,875.0,24,537.6
PARLE MONACO CLASSIC REGULAR 200G,11.0,440.0,12,436.32
PARLE HIDE & SEEK BLACK BOURBONE,2.0,60.0,0,0
CADBURY OREO STRAWBERRY 120G,5.0,175.0,12,381.72
PARLE HIDE & SEEK CHOCO CREME,54.0,1620.0,36,972.72
PARLE HIDE AND SEEK 200G,25.0,1500.0,12,646.8
PARLE-G 100G,47.0,470.0,12,109.2
PARLE 20-20 CASHEW COOKIES 200G,14.0,490.0,12,381.72
PARLE KRACK JACK 200G,37.0,1480.0,32,"1,163.52"
PARLE KRACK JACK 63G+18.9 EXTRA,5.0,50.0,12,108.36
PARLE-G 200G,59.0,1475.0,24,545.28
PARLE-G 800G,38.0,3420.0,32,"2,617.92"
PARLE  COCONUT,7.0,140.0,0,0
PARLE MILANO CHOCO HAZELNUT,2.0,80.0,6,218.16
PARLE MANGO BITE 289G,1.0,50.0,0,0
PARLE MELODY CHOCOLATE 195G,1.0,50.0,5,217.4
SUNFEAST MOMS MAGIC BUTTER FILLS,4.0,160.0,0,0
SUNFEAST MOMS MAGIC CASHEW FILLS,9.0,360.0,0,0
DARK FANTACY BOURBON 150G,16.0,640.0,0,0
SUNFEAST DARK FANTASY CHOCO FILLS,49.0,2200.0,3,356.58
SUNFEAST BOUNCE DREAM CREME 120G,10.0,200.0,6,105.66
SUNFEAST BOUNCE STRAWBERRY DREA,21.0,420.0,6,105.66
SUNFEAST MOMS MAGIC CASH&ALMD,3.0,360.0,0,0
CANDYMAN FANTASTIK,10.0,50.0,0,0
BINGO CHIPS P OS,1.0,10.0,0,0
SUNFEAST DARK FANTASY CHOCO NUT F,10.0,400.0,0,0
SUNFEAST MARIE LIGHT 200G,11.0,275.0,6,131.22
SUNFEAST MARIE LIGHT ACTIVE 250G,21.0,840.0,0,0
SUNFEAST MARIE LIGHT VEDA 250G,23.0,920.0,6,209.94
YIPPEE MAGIC M  NOODLES 420G,3.0,246.0,18,"1,344.78"
YIPPEE MAGIC NOODLES135G,11.0,308.0,6,153.06
YIPPE MOOD MASALA,1.0,60.0,0,0
YIPPEE NOODILES 270G,16.0,880.0,6,300.66
BINGO NO RULZ 17.3,38.0,190.0,0,0
SUNFEAST BOUNCE CHOCO CREAME,14.0,140.0,0,0
SUNFEAST BOUNCE ORANGE,29.0,290.0,0,0
SUNFEAST BOUNCE PINEAPPLE 78G,17.0,170.0,0,0
AASHIRVAD ATTA 1KG,18.0,1206.0,4,230.28
YIPPEE MAGIC NOODLES,5.0,70.0,12,153
SUNFEAST DARK FANTACY COFFEE FIL,19.0,760.0,12,428.52
AASHIRVAD ATTA 2KG,3.0,390.0,0,0
BINGO POTATO CHIPS MASALA,2.0,20.0,0,0
BINGO POTATO CHIPS TOMATO,3.0,30.0,0,0
BINGO CREAM ONION,9.0,90.0,0,0
COCA-COLA 300ML GAN,1.0,40.0,8,256.32
COCACOLA 750ML,4.0,160.0,12,384.48
COCA-COLA 2.25LIT BOTTLE,1.0,99.0,7,566.22
COCACOLA 250ML BOTTLE,1.0,20.0,0,0
FANTA 250ML,1.0,20.0,10,163.6
SPRITE 750ML BOTTLE,24.0,960.0,30,961.2
SPRITE 2.25L BOTTLE,12.0,1062.0,14,"1,127.28"
SPRITE 250ML  BOTTLE,73.0,1460.0,46,744.22
THUMS UP 250ML,2.0,40.0,0,0
LIMCA 300ML,1.0,40.0,8,258.24
KINLEY SODA 750ML,10.0,200.0,24,407.76
AVT TEA POWDER 250G,3.0,240.0,8,560
TROPICANA APPLE 250ML,2.0,40.0,20,333.4
TROPICANA FRUTZ APPLE 250ML,7.0,140.0,0,0
STING 250ML,12.0,240.0,10,160
TROPICANNA GUAVA DELIGHT 200ML,11.0,220.0,20,333.4
TROPICANA ORNGE 1L,1.0,118.0,0,0
TROPICANA APPLE 1L,3.0,60.0,0,0
TROPICAN MIXED FRUIT 1L,1.0,118.0,0,0
PEPSI 750ML BOTTLE,13.0,520.0,20,628.8
PEPSI 2.25LIT BOTTLE,2.0,198.0,4,311.28
PEPSI 250ML CAN,4.0,140.0,6,164.58
MIRINDA 250ML,5.0,100.0,0,0
MIRINDA 750ML,6.0,240.0,6,188.64
MIRINDA 2.25LIT,4.0,396.0,3,233.46
SEVEN UP 250 ML BOTTLE,14.0,280.0,10,160
SEVEN UP 750 ML BOTTLE,28.0,1120.0,30,943.2
SEVEN UP 2.25LIT,10.0,990.0,11,856.02
SEVEN UP 1.25 LIT BOTTLE,1.0,65.0,4,211.84
SEVEN UP 250ML CAN,1.0,35.0,6,164.58
MOUNTAIN DEW 750ML BOTTLE,7.0,280.0,8,251.52
TROPICANA SLICE 600ML,1.0,40.0,0,0
AQUAFINA WATER 500 ML,103.0,990.16,72,570.24
AQUAFINA  WATER 1 LIT,116.0,2320.0,0,0
AQUAFINA WATER 2 LIT,4.0,160.0,0,0
LEHAR SODA 750ML,51.0,1020.0,72,"1,135.44"
LEHAR SODA 2 LIT,3.0,120.0,27,849.96
LEHAR EVERVESS PEPSICO 2.25L,6.0,240.0,0,0
GRANDMAS KAIMA RICE 1KG,1.0,145.0,0,0
GRANDMAS PINEAPPLE JAM 100G,1.0,25.0,0,0
GALAXY SMOOTH MILK 18G,4.0,80.0,0,0
APPY FIZZ 600ML,5.0,175.0,6,164.58
APPY FIZZ 160ML,24.0,240.0,40,329.2
SMOODH CHOCOLATE MILK 85ML,6.0,60.0,0,0
SMOODH TOFFEE CARAMEL 85ML,5.0,50.0,10,88
FROOTI  300ML,3.0,60.0,15,253.5
APPY 250ML BOTTLE BLACK,4.0,80.0,10,160.1
MAA 160ML,102.0,1020.0,230,"1,760.00"
CAVINS VANILLA MILKSHAKE 180ML,18.0,540.0,16,414.56
CAVINS CHOCOLATE SHAKE 180ML,43.0,1290.0,65,"1,685.63"
CAVINS BUTTERSCOTCH MILKSHAKE 18,11.0,330.0,16,416
CAVINS STRABERRY MILKSHAKE 180ML,12.0,360.0,23,596.51
HALDIRAMS ALL IN ONE 200G,1.0,50.0,0,0
HALDIRAMS TASTY NUTS 200G,2.0,100.0,0,0
DOUBLE HORSE VERMICELLI KH MIX,1.0,80.0,24,"1,536.00"
MODERN FRUITY 200G,5.0,125.0,0,0
MODERN 100% WHOLE WHEET 400G,1.0,48.0,0,0
MODERN CLASSIC SWEET 500G,2.0,100.0,0,0
MODERN MILK PLUS 600G,1.0,55.0,0,0
TATA SALT LITE 1KG,2.0,60.0,50,"1,250.00"
TIGER ORANGE RED 10G,1.0,17.0,0,0
MILMA GHEE 200ML,1.0,146.0,6,851.82
BAMBINO PASTA SHOTT CREAMY CHEES,1.0,28.0,0,0
URBANS CASHEWS SALTED (ROASTED) 2,2.0,900.0,7,"2,660.00"
URBANS CASHEWS PLAIN 250G,4.0,1600.0,2,680
URBANS SALTED PISTANCHIO 80G,2.0,320.0,5,650
URBANS CASHEWS PLAIN 80G,1.0,120.0,12,"1,260.00"
URBANS RAISINS 250G,1.0,240.0,2,400
SNICKERS 15G,4.0,40.0,114,"1,036.26"
WINKIES MARBLE CAKE LEMON & RASP,1.0,30.0,0,0
WINKIES SWISS ROLL STRAWBERRY,1.0,90.0,2,156.06
WINKIES MINI SWISS ROLL CHOCOLATE,10.0,100.0,15,134.1
WINKIES MINI SWISS ROLL STRAWBERR,5.0,50.0,0,0
LION DESERT KING DATES 250G,1.0,134.0,3,377.37
LION ARABIAN DATES 500G,1.0,218.0,6,"1,134.36"
LION ARABIAN DATES 250G,2.0,228.0,6,593.4
ELITE MAIDA 500G,2.0,66.0,0,0
NUTRIN LOLLIPOP 8906009011301,11.0,22.0,0,0
PARRYS WHITE LABEL SUGAR 1KG 8906009011301,3.0,165.0,0,0
PARRYS WHITE LABEL SUGAR 500G 8906009011318,2.0,60.0,0,0
UNIBIC CHOCO RIPPLE COOKIES 8906009070483,2.0,50.0,0,0
UNIBIC CASHEW BADAM COOKIES (50%) 3 8906009071626,5.0,300.0,0,0
UNIBIC FRUIT & NUT (50%) 300G 8906009071848,8.0,600.0,0,0
UNIBIC CHOCO CHIPS COOKIES 300G 8906009071954,7.0,525.0,0,0
UNIBIC CHOCO  NUT COOKIES  300G 8906009072678,3.0,215.0,0,0
UNIBIC PISTA BADAM COOKIES 150G 8906009078687,1.0,55.0,0,0
UNIBIC SUGAR FREE CASHEW COOKIES 8906009079646,12.0,960.0,0,0
GOLD WINNER SUNFLOWER OIL 500ML 8906010261047,1.0,110.0,0,0
WAFER ROLL 8906010301743,3.0,90.0,0,0
BAKERS BAKING POWDER 100G 8906012890023,3.0,96.0,0,0
BAKERS CUSTARD POWDER 100G 8906012890047,2.0,80.0,0,0
BAKERS CORN FLOUR 100G 8906012890061,8.0,264.0,0,0
BAKERS BAKING SODA100G 8906012890863,1.0,30.0,0,0
BAKERS  KASURI METHI 100G 8906012960160,1.0,27.0,0,0
BRAHMINS PUTTU PODI 1KG 8906014080019,8.0,732.0,0,0
BRAHMINS PUTTU PODI 500G 8906014080026,6.0,289.0,0,0
BRAHMINS RICE PODI 1KG 8906014080033,2.0,182.0,0,0
BRAHMINS FRIED RAVA 1KG 8906014080057,10.0,1100.0,0,0
BRAHMINS FRIED RAVA 500G 8906014080064,2.0,118.0,0,0
BRAHMINS SAMBAR PODI 100G 8906014080101,7.0,357.0,0,0
BRAHMINS BROKEN SAMBA WHEAT 500 8906014080545,3.0,349.0,0,0
BRAHMINS WHEAT FLAKES 300G 8906014082051,1.0,88.0,0,0
BRAHMINS APPAM IDIYAPPAM PODI 1KG 8906014085533,3.0,271.0,0,0
RICHS WHIP LOOPING 1 LIT 8906017112519,5.0,1250.0,0,0
RICHS WHIP TOPING 500 ML 8906017112526,1.0,145.0,0,0
ANNS CHICKEN MASALA 100G 8906017370025,4.0,160.0,0,0
ANNS MEAT MASALA 100G 8906017370032,7.0,315.0,0,0
ANNS PALAPPAM PODI 500G 8906017370155,1.0,45.0,0,0
ANNS IDIYAPPAM PODI 500G 8906017370346,1.0,43.0,0,0
MARIAS COCONUT CHUTNEY PODI PAC 1 8906026160310,1.0,68.0,0,0
MARIAS LIME PICKLE BOTTLE 200G 8906026163120,1.0,45.0,0,0
MARIAS LIME PICKLE 5KG 8906026163342,1.0,220.0,0,0
MARIAS LIME PICKLE 150G 8906026165537,5.0,145.0,0,0
MARIAS CUT MANGO 150G 8906026165544,1.0,29.0,0,0
MILMA BUTTER UNSALTED 200G 8906033401239,1.0,125.0,0,0
MARIES BANANA CHIPS 170G 8906034969028,7.0,490.0,0,0
MARIES BANANA CHIPS NEW 425G 8906034969028,5.0,875.0,0,0
MARIES CHILLY MIXTURE 425G 8906034969042,14.0,1750.0,0,0
MARIES CHILLY MIXTURE 170G 8906034969059,24.0,1200.0,0,0
MARIES DAL MIXTURE 170G 8906034969059,2.0,100.0,0,0
MARIES SWEET MIXTURE 170G 8906034969059,2.0,100.0,0,0
MARIES WHITE MIXTURE 170G 8906034969059,6.0,300.0,0,0
MARIES MULLU MURUKKU 170G 8906034969080,1.0,50.0,0,0
MARIES CHILY TAPIOCA CHIPS 170G 8906034969103,1.0,50.0,0,0
MARIES TAPIOCA CHIPS PLAIN 170G 8906034969103,5.0,250.0,0,0
MARIES KUZHALAPPAM SWEET 170G 8906034969110,6.0,300.0,0,0
MARIES KUZHALAPPAM (SUGAR LESS) 1,1.0,50.0,0,0
MARIES PAKKAVADA 170G,17.0,850.0,20,716.8
MARIES MADHURASEVA 170G,3.0,150.0,10,358.4
MARIES SHARKKARAVARATTI 170G,3.0,215.0,5,252
MARIES MASALA PEANUT 130G,1.0,40.0,0,0
MARIES PLAIN PEANUT 130G,1.0,40.0,5,160.15
MARIES MASALA PEANUT 75G,1.0,25.0,0,0
MARIES BOLI 5 NOS,4.0,200.0,10,358.4
MARIES CHEEDA 170G,4.0,200.0,0,0
MARIES ACHAPPAM 10NO ROUND,10.0,450.0,35,"1,136.80"
MARIES ACHAPPAM 27 NOS SQARE,13.0,650.0,15,504
MARIES KAKKA CHIPS 100G,1.0,25.0,5,100.8
NANDINI GOOD LIFE 1L,61.0,3822.0,72,"4,248.00"
MALANADU CURD 500ML,9.0,315.0,10,330
MALANADU GHEE 200ML,1.0,150.0,0,0
KITCHEN PALADA PAYASAM MIX 200G,3.0,240.0,0,0
MIDO CHOCOLATEE  ECLAIERS 300G,1.0,225.0,0,0
MIDO CHOCOLATE ECLAIRS 650G,1.0,375.0,0,0
MIDO HONEY ECLAIERS 300G,1.0,200.0,3,499.95
ASIANS KURKAR STICK,1.0,50.0,0,0
ASIANS CHEESE BALL100G,1.0,45.0,5,173.6
RADIANT YELLOW 25G,1.0,100.0,0,0
DEV SNACKS SALT DIAMOND,4.0,260.0,0,0
DEV SNACKS TEA TIME,5.0,325.0,0,0
ASIANS BANANA CHIPS,4.0,700.0,4,560
ASIANS BANANA CHIPS 180G,3.0,210.0,10,560
ASIANS CHILLI MIXTURE 170G,3.0,150.0,10,358.4
ASIANS PEANUT CANDIES 280G,2.0,130.0,0,0
ASIANS TAPIOCA CHIPS,1.0,60.0,0,0
MERIIBOY BABY RICHY,25.0,630.0,0,0
MERIIBOY CHOCOLATE 500ML,3.0,465.0,0,0
MERIIBOY SPANISH DELIGHT  1 L,4.0,1160.0,0,0
MERCELYS KIWI 1L,1.0,330.0,0,0
MARAYOOR JAGGERY 500GM,2.0,130.0,24,"1,281.60"
KITCHEN MEAT MASALA 100G,5.0,230.0,0,0
KITCHEN CHICKEN MASALA 100G,11.0,517.0,10,320
KITCHEN MUSTARD(KADUKU) 100G,8.0,104.0,0,0
KITCHEN CUMIN 100G,6.0,376.0,0,0
KITCHEN BIRIYANI PODI 100G,1.0,54.0,0,0
KITCHEN FISH PICKLE 150G,2.0,166.0,3,190.23
KITCHEN PUTTU PODI 500G,1.0,58.0,0,0
MALANADU MILK 500ML RED,71.0,1988.0,67,"1,742.00"
RUCHIYIDAM MANGO BAR,3.0,195.0,12,636
SAPPHIRE TRUFFLE OVEL,1.0,190.0,0,0
ASSAL COCONUT OIL 1 LIT,1.0,160.0,0,0
PAF SESAME ROUND WHITE CANDY 12 P,7.0,490.0,0,0
PAF PEANUT CUTING CANDY,4.0,185.0,0,0
PAF MALAR CANDY 9NO,1.0,40.0,0,0
PAF SESAME ROUND BLACK CANDY 12 P,1.0,70.0,0,0
PAF MIXTURE ROUND CANDY C,1.0,65.0,0,0
PAF PLAM JAGGERY 300G,1.0,95.0,0,0
NABATI CHEESE WAFER 33G,4.0,40.0,0,0
RED BULL 250ML,2.0,250.0,0,0
"MALABAR""S  TOMATO MURUKKU 130G",7.0,350.0,10,320
MALABAR KARASEVA 170G,1.0,50.0,0,0
SAPPHIRE ASSORTMENT,1.0,430.0,0,0
TASTY CHAPPATHI 1NO,27.0,1215.0,0,0
ACT SOUR CREAM CHEESE,0.0,0.0,15,206.25
ACT SUNDROP PEANUT BUTTER CRUNCH,0.0,0.0,2,380.68
ACT-II-MAGIC BUTTER 30G,0.0,0.0,15,137.55
AMUL ALPHONSO MANGO 1LTR,0.0,0.0,4,812
AMUL BUTTER SALTED 500G,0.0,0.0,4,"1,016.04"
AMUL BUTTERSCOTCH 125ML,0.0,0.0,40,"1,156.00"
AMUL BUTTERSCOTCH GOLD 1LIT,0.0,0.0,2,406
AMUL CHOCO MALTINO,0.0,0.0,1,248.01
AMUL CHOCOLATE MAGIC 1 LTR,0.0,0.0,2,360
AMUL COMBO VANILLA,0.0,0.0,4,760.04
AMUL GOLDEN PEARL 125ML,0.0,0.0,8,232
AMUL GOLDEN PEARL 2L,0.0,0.0,2,564
AMUL JUMBO CHOCO MALTINO,0.0,0.0,16,528
AMUL JUMBO CUP COFFEE,0.0,0.0,8,264
AMUL JUMBO GIOLD BUTTERSCOTCH,0.0,0.0,8,250
AMUL TWO IN ONE VANILA+STRW,0.0,0.0,2,490
ANNS CHICKEN MASALA 100G,0.0,0.0,20,739.2
ANNS IDIYAPPAM PODI 500G,0.0,0.0,6,215.04
APPY FIZZ 125 BTL RED,0.0,0.0,20,164.6
APPY FIZZ 1LIT,0.0,0.0,3,142.62
APPY FIZZ CAN 250ML RED,0.0,0.0,6,164.58
ASIANS GILEBEY MURUKKU 180G,0.0,0.0,6,215.04
ASIANS POTATO CHIPS,0.0,0.0,5,201.6
AVT TEA POWDER 100G,0.0,0.0,10,288
BAKERS COCOA POWDER 50G,0.0,0.0,10,541.6
BAKERS CORN FLOUR 100G,0.0,0.0,10,275
BAKERS PLAIN CHINA GRASS 10G,0.0,0.0,10,391.6
BAKERS TOMATO KETCHUP 85G,0.0,0.0,12,200.04
BAMBINO PASTA MACARONI 200G,0.0,0.0,3,67.98
BAMBINO ROASTED VERMICELLI 200G,0.0,0.0,6,146.94
BAMBINO VERMICELLI 325G,0.0,0.0,6,164.64
BINGO HASHTAG CREM&ONION,0.0,0.0,12,108.12
BOOST 17G,0.0,0.0,180,826.2
BOOST BOTTLE 200G,0.0,0.0,6,756.78
BOOST BOTTLE 500G,0.0,0.0,9,"2,491.65"
BOOST PAC 500G,0.0,0.0,1,230.57
BRAHMINS APPAM IDIYAPPAM PODI 1KG,0.0,0.0,3,222
BRAHMINS APPAM IDIYAPPAM PODI 500,0.0,0.0,4,158
BRAHMINS FRIED RAVA 1KG,0.0,0.0,4,360
BRAHMINS RAGI PUTTU POWDER,0.0,0.0,4,192
BRAHMINS RICE PODI 1KG,0.0,0.0,6,444
BRAHMINS RICE PODI 500G,0.0,0.0,6,237
BRAHMINS SAMBA WHEAT RAVA 500G,0.0,0.0,4,392
BRITAANNIA NICE TIME,0.0,0.0,16,145.76
BRITANNIA 50-50 MASKA CHASKA 120G,0.0,0.0,6,163.98
BRITANNIA 50-50 SSWEET & SALT 150G,0.0,0.0,44,"1,180.52"
BRITANNIA 50-50 SWEET AND SALTY 200,0.0,0.0,72,"2,254.32"
BRITANNIA 50-50 TIME PASS 150G,0.0,0.0,12,261.36
BRITANNIA GOOD DAY BUTTER,0.0,0.0,6,137.04
BRITANNIA GOOD DAY CASHEW,0.0,0.0,16,146.08
BRITANNIA LITTLE HART 1NO,0.0,0.0,14,127.54
BRITANNIA MARIE GOLD 250G,0.0,0.0,18,649.98
BRITANNIA MILK BIKIS 300G,0.0,0.0,18,901.62
BRITANNIA NICE TIME SUGAR SHOWERE,0.0,0.0,18,409.86
BRITANNIA NUTRI CHOICE CRACKER 300,0.0,0.0,39,"1,776.06"
BRITANNIA TIGER BRITA 150G,0.0,0.0,6,131.82
BRITANNIA TREAT CROISSANT COCOA 4,0.0,0.0,5,90.25
BRITANNIA TREAT CROISSANT MIXED F,0.0,0.0,5,90.25
BRITANNIA TREAT CROISSANT ORANGE,0.0,0.0,5,90.25
BRITANNIA TREAT CROISSANT VANILLA,0.0,0.0,3,54.15
BRITANNIA TREAT WAFERS CHOCO,0.0,0.0,4,89.44
BRITANNIA TREAT WAFERS ORANGE,0.0,0.0,7,156.52
BRITANNIA TREAT WAFERS STRAWBERR,0.0,0.0,7,156.52
BRITANNIA TREAT WAFERS VANILA,0.0,0.0,7,156.52
BRITANNIA VITA MARIE GOLD BIS 300G,0.0,0.0,6,243.72
BRU GOLD 25G JAR,0.0,0.0,2,168.22
BRU GOLD 50G JAR,0.0,0.0,2,327.1
BRU GREEN LABEL 200G,0.0,0.0,6,447.72
BRU INSTANT 100G,0.0,0.0,4,822.44
BRU INSTANT 11.9,0.0,0.0,132,"1,178.76"
BRU INSTANT 2.2G,0.0,0.0,"1,008.00","1,794.24"
BRU INSTANT 5.5G,0.0,0.0,60,262.2
BRU SUPER STRONG 200G,0.0,0.0,45,"8,151.30"
CADBURY BOURNVITA GAR 500G,0.0,0.0,3,666.96
CADBURY BOURNVITA PACK 500G,0.0,0.0,5,"1,039.30"
CADBURY BOURNVITTA 500G,0.0,0.0,1,212.96
CADBURY CRISPELLO 13G,0.0,0.0,40,363.6
CADBURY DAIRY MILK CHOCO 25G,0.0,0.0,80,"1,434.80"
CADBURY DAIRY MILK CHOCOLATE 13,0.0,0.0,10,899.7
CADBURY DAIRY MILK SILK ROAST ALM,0.0,0.0,6,455.4
CADBURY GEMS 25.28 1NO,0.0,0.0,12,191.4
CADBURY GEMS SURPRISE BOLL 15.8G,0.0,0.0,12,482.16
CADBURY SILK FRUIT & NUTS,0.0,0.0,6,455.4
CADBURY SILK FRUIT &NUT 137G,0.0,0.0,3,495.51
CADBURY SILK OREO RED VELVET 50G,0.0,0.0,5,379.5
CAMERRY TENDER COCONUT 1000ML,0.0,0.0,2,640
COCA-COLA 1.25L BOTTLE,0.0,0.0,2,89.68
COMPLAN BOTTLE CHOCOLATE 500G,0.0,0.0,2,568.6
CUPCAKE INO RS 10,0.0,0.0,95,760
DAIRY MILK LICKABLES,0.0,0.0,1,41.3
DAIRY MILK SILK HAZELNUT,0.0,0.0,2,151.8
DIET COKE 300ML GAN,0.0,0.0,14,447.9
DOVANA CHOCOLATES,0.0,0.0,2,559.32
EASTERN CORIANDER PODI NEW 250G,0.0,0.0,4,185.24
