Item,Quantity_Sales,Amount_Sales,Quantity_Purchases,Amount_Purchases
GALAXY SHAKE,4.0,320.0,0,0
GOLD WINNER 1LTR,72.0,12240.0,30,"3,840.00"
GOODLIFE NANDINI MILK 500ML,3.0,96.0,0,0
GRAMBU 1KG,0.01,10.0,0,0
GRAPE LIME,18.0,540.0,0,0
HALDIRAM ALUSEVA BHUJIYA 220G,1.0,52.0,0,0
HALDIRAM BHUJIYA SEV 200G,5.0,275.0,3,144.72
HALDIRAM SHENG BHAJIA,2.0,100.0,3,131.58
HALDIRAMS KHATTA MEETHA,6.0,300.0,0,0
HALVA 1KG(MAIDHA),2.62,393.0,0,0
HALVA SP 1KG(RICE),14.97,3742.5,0,0
HORLICKS CS 450G,1.0,219.0,0,0
IMPORTED COINS CANDY,2.0,10.0,0,0
IMPORTED JELLY,9.0,45.0,0,0
IMPORTED MASHMELLO,10.0,150.0,0,0
IMPORTED TOBLERONE,3.0,510.0,0,0
IMPORTED TWISTER BOX,1.0,300.0,0,0
INDIA GATE (HAIMA RICE) 1KG,1.0,130.0,0,0
INDIA GATE 1KG(LOOSE),4.5,585.0,0,0
JEERAGAM MITTAI,1.0,20.0,0,0
JILEBI 1NO,113.0,1356.0,115,"1,150.00"
JOLY RANGER (LOLLI POP),98.0,490.0,100,445
KALKANDOM KATTA 1KG,0.5,50.0,0,0
KARUVAPATTA 1KG,0.02,10.0,0,0
KELLOGGS CHOCO FILS 250G,1.0,195.0,0,0
KELLOGGS CHOCO FROOTLOOPS,3.0,30.0,0,0
KELLOGGS CHOCOS,8.0,80.0,0,0
KELLOGGS CORN FLAKES 475G,1.0,195.0,0,0
KELLOGGS PRINGLES PERIPERI,2.0,230.0,0,0
KELLOGGS PRINGLESS DESI MASALA,2.0,230.0,0,0
KF TOP CUP CHILLI CHILLI,1.0,50.0,3,128.67
KF TOP CUP ITALIANO,3.0,150.0,4,171.6
KF TOP CUP MAZEDAAR MASALA,4.0,200.0,3,128.67
KF TOP CUP PANEER BUTTER,1.0,50.0,2,85.8
KF TOP CUP SPICED CHICKEN,5.0,250.0,3,128.67
KIDILAN SHARJAH,4.0,360.0,0,0
KISNA VINAGER 1LIT,2.0,50.0,0,0
KISSMISS GREEN 1KG,0.05,20.0,0,0
KITCHEN CORN PUTTU 500GM,1.0,48.0,0,0
KITCHEN GINGER GARLIC PASTE 100G,5.0,200.0,0,0
KITCHEN PUTTU PODI 1 KG,2.0,136.0,9,458.91
KITCHEN VERMICELLY PAYASAM MIX 30,1.0,82.0,24,"1,503.12"
KITKAT SHAKE,6.0,480.0,0,0
KITKAT SHARE BREAK 55G,1.0,45.0,0,0
KIWI CHOCOBAR,56.0,1120.0,0,0
KIWI CHOCOBAR WHITE,20.0,600.0,0,0
KIWI FUN TREAT ARABIAN DELIGHT,5.0,250.0,0,0
KIWI MANGOBAR,19.0,380.0,0,0
KIWI PUTTU ICECREAM,10.0,2990.0,0,0
KIWI ROYAL ARABIAN DELIGHT CONE,12.0,600.0,0,0
KIWI ROYAL BUTTERSCOTCH CONE,12.0,480.0,0,0
KIWI ROYAL CHOCOLATE CONE,12.0,480.0,0,0
KIWI ROYAL VANILA CONE,12.0,480.0,0,0
KOPICO,10.0,10.0,0,0
KURISHU BREAD 300G,14.0,700.0,14,630
KURISHU BREAD 500G,16.0,1280.0,16,"1,200.00"
KURKURE NAUGHTY TOMOTO,9.0,90.0,20,182.2
LADDU 1NO,94.0,1128.0,94,940
LAYS CREAM ONION,1.0,78.0,5,356.15
LAYS GOURNMET,6.0,180.0,12,334.32
LAYS HOT & SWEET,55.0,610.0,40,551.8
LAYS MAGIC MASALA,2.0,20.0,22,717.68
LAYS MAGIC MASALA  52G,7.0,140.0,20,371.4
LAZZA,2.0,420.0,0,0
LAZZA BUTTERSCOCH,2.0,550.0,0,0
LAZZA CHOCOBAR,11.0,280.0,0,0
LAZZA CUP VANILA,2.0,20.0,0,0
LIFE LINE BADAM,20.0,1000.0,10,430
LIFE LINE CASHEW,30.0,1500.0,10,430
LIFE LINE ORANGE,11.0,550.0,0,0
LIFE LINE VANILA,15.0,750.0,10,430
LILLY BLACK KISSMISS 100G,1.0,50.0,0,0
LOTTE CHOCO 1 PCS 25 G,70.0,700.0,0,0
LOTTE COFFY BITE 1NO,22.0,110.0,0,0
MACRONS BISCUT 250G,5.0,400.0,0,0
MAGGI MAS RS 55,56.0,3116.0,24,"1,232.88"
MAGGI MASALA 560G,2.0,221.0,12,"1,233.00"
MALKIST CHOCOLATE,1.0,6.0,0,0
MARBLE CAKE 400G,7.0,1120.0,7,980
MARBLE CAKE 800G,15.0,4800.0,11,"3,080.00"
MARIAS CUTMANGO 60G,1.0,10.0,0,0
MARIAS DATES PICKLE 200G,1.0,79.0,0,0
MARIAS FISH PICKLES 200G,1.0,109.0,0,0
MARIAS LEMON  60G,1.0,10.0,0,0
MARIAS PASSION FRUIT SQUASH,1.0,239.0,2,406
MARIES CORNFLAKES MIXTURE 179,1.0,50.0,5,179.2
MARIES FRYMES,1.0,25.0,0,0
MARIES JACK CHIPS 140G,8.0,560.0,0,0
MARIES MACRONI SWEETS,3.0,90.0,0,0
MARIES PEANUT CANDY 130G,7.0,245.0,15,409.5
MARIES PEANUT CANDY 240G,21.0,1365.0,15,787.5
MARIES PEANUT CANDY70G,3.0,75.0,0,0
MARIES SESAM BALL S WHITE 10 PCS,4.0,160.0,10,279.3
MARIES SESAM BALLS BLACK 10 PCS,4.0,160.0,5,139.65
MARIES SNACKS 140GM,1.0,40.0,0,0
MARIES SWEET BANANA CHIPS 150GM,1.0,70.0,0,0
MARIES TAPIOCA CHIPS CHILLI 170G,18.0,900.0,25,896
MARIES THATTA 130G,2.0,100.0,15,537.6
MARIES UZHUNNADA 130G,5.0,250.0,5,179.2
MASALA BISCUIT 250G,13.0,1040.0,13,845
MASALA BISCUIT 500G,12.0,1920.0,12,"1,800.00"
MEAT ROLL 1NO,15.0,450.0,15,405
MENTOS,25.0,25.0,0,0
MERCELYS FRUITBAR PINEAPPLE,25.0,250.0,50,386.5
MERCELYS LOLLY,48.0,480.0,48,380.64
MERCELYS SPANISH DELIGHT 1LTR,1.0,320.0,2,494.94
