Sl,Item,Quantity,Amount
556,BAMBINO PASTA MACARONI 200G 8904287001274,1,25
557,URBANS CASHEWS PLAIN 500G 8906000680124,1,750
558,URBANS CASHEWS PLAIN 250G 8906000680131,4,"1,600.00"
559,URBANS SALTED PISTANCHIO 80G 8906000680193,2,320
560,URBAN NUTS 400G TIN 8906000680544,1,630
561,SNICKERS 15G 8906002484003,198,"1,980.00"
562,WINKIES MARBLE CAKE 110G 8906005610683,11,330
563,WINKIES MINI SWISS ROLL CHOCOLATE 8906005618603,11,110
564,LIONS DESEEDED DATES 500G RED 8906006720084,1,152
565,LIONS DESERTKING DATES 500G 8906006720190,7,"1,729.00"
566,LION ARABIAN DATES 500G 8906006722187,8,"1,744.00"
567,ELITE RAGI POWDER 500G 8906007250580,4,200
568,NUTRIN LOLLIPOP 8906009011301,57,114
569,PARRYS WHITE LABEL SUGAR 1KG 8906009011301,4,220
570,PARRYS WHITE LABEL SUGAR 500G 8906009011318,1,30
571,UNIBIC CASHEW BADAM COOKIES (50%) 3 8906009071626,10,600
572,UNIBIC FRUIT & NUT (50%) 300G 8906009071848,1,75
573,UNIBIC CHOCO CHIPS COOKIES 300G 8906009071954,1,75
574,UNIBIC BUTTER COOKIES 150G 8906009072104,8,440
575,UNIBIC CHOCO  NUT COOKIES  300G 8906009072678,1,75
576,UNIBIC PISTA BADAM COOKIES 150G 8906009078687,6,330
577,UNIBIC SUGAR FREE CASHEW COOKIES 8906009079646,20,"1,600.00"
578,MELLO DARK COMPOUND 500G 8906011347405,1,135
579,BAKERS BAKING POWDER 100G 8906012890023,1,32
580,BAKERS CUSTARD POWDER 100G 8906012890047,2,80
581,BAKERS CORN FLOUR 100G 8906012890061,1,33
582,BAKERS COCOA POWDER 50G 8906012890221,5,325
583,BAKERS PLAIN CHINA GRASS 10G 8906012890306,1,47
584,BRAHMINS PUTTU PODI 1KG,4,372
585,BRAHMINS PUTTU PODI 500G,3,145
586,BRAHMINS FRIED RAVA 1KG,4,440
587,BRAHMINS FRIED RAVA 500G,6,354
588,BRAHMINS SAMBAR PODI 100G,16,816
589,BRAHMINS BROKEN SAMBA WHEAT 500,19,"2,261.00"
590,BRAHMINS AVAL 500 GM,1,74
591,BRAHMINS COCONUT CHUTNEY POWDE,1,110
592,BRAHMINS APPAM IDIYAPPAM PODI 1KG,2,182
593,RICHS WHIP LOOPING 1 LIT,2,521
594,RICHS WHIP TOPING 500 ML,1,145
595,CREAM BELL COFFE MILK,5,165
596,MARIAS CUT MANGO PICKLE GAR 1KG,2,218
597,RUCHIYIDAM KACHA AAM 200,5,600
598,RG GINGELLY OIL BOTTLE 1000ML,1,286
599,MARIES BANANA CHIPS 170G,25,"1,750.00"
600,MARIES BANANA CHIPS NEW 425G,16,"2,800.00"
601,MARIES CHILLY MIXTURE 425G,16,"2,000.00"
602,MARIES CHILLY MIXTURE 170G,42,"2,100.00"
603,MARIES SWEET MIXTURE 170G,2,100
604,MARIES WHITE MIXTURE 170G,5,250
605,MARIES MULLU MURUKKU 170G,15,750
606,MARIES TAPIOCA CHIPS KOLLI 170,2,100
607,MARIES TAPIOCA CHIPS PLAIN 170G,1,50
608,MARIES KUZHALAPPAM SWEET 170G,7,350
609,MARIES PAKKAVADA 170G,18,900
610,MARIES MADHURASEVA 170G,5,250
611,MARIES KARACHEVE 170G,1,50
612,MARIES PLAIN PEANUT 130G,1,40
613,MARIES ROASTED PRANUT 130G,4,160
614,MARIES PLAIN PEANUT 75G,1,25
615,MARIES BOLI 5 NOS,11,550
616,MARIES GHEE ROASTED PEANUT 130G,2,100
617,MARIES CHEEDA 170G,3,145
618,MARIES ACHAPPAM 10NO ROUND,36,"1,620.00"
619,MARIES ACHAPPAM 27 NOS SQARE,11,550
620,MARIES KAKKA CHIPS 100G,2,50
621,NANDINI GOOD LIFE 1L,97,"6,208.00"
622,PAPER BOAT GUAAVA 150ML,2,20
623,MALANADU CURD 500ML,5,175
624,MALANADU HONEY 1000G,2,700
625,MALANADU GHEE 200ML,1,154
626,KITCHEN SOYA CHUNKS 200G,1,50
627,KITCHEN ASAFOETIDA 20G,1,34
628,MIDO MILK ECLAIRS 200G,1,140
629,MIDO CHOCOLATE ECLAIERS 300G,2,400
630,MIDO CHOCOLATE ECLAIRS 400G,1,175
631,MIDO HONEY ECLAIERS 300G,2,400
632,ASIANS KURKAR STICK,1,50
633,ASIANS GILEBEY MURUKKU 180G,2,100
634,ASIANS POTATO CHIPS,1,50
635,TATA MUESLI 0% ADDED SUGAR 500G,1,389
636,BUSH VANILLA 20ML,1,28
637,ASIANS BANANA CHIPS,7,"1,225.00"
638,ASIANS BANANA CHIPS 180G,5,350
639,ASIANS CHILLI MIXTURE 170G,3,150
640,ASIANS JACK CHIPS 140GM,7,560
641,ASIANS MACRONI SWEETS,3,120
642,ASIANS PAKKAVADA,1,50
643,ASIANS TAPIOCA CHIPS PLAIN,1,50
644,OCEAN ENERGY DRINK 250G,3,225
645,MERIIBOY BABY RICHY,30,750
646,MARAYOOR JAGGERY 500GM,2,130
647,KITCHEN KASHMIRI CHILLI 250G,4,695
648,KITCHEN CORIANDER PODI 100G,5,90
649,KITCHEN GARAM MASALA 50G,2,88
650,KITCHEN MEAT MASALA 100G,2,92
651,KITCHEN CHICKEN MASALA 100G,11,516
652,KITCHEN CUMIN 100G,11,715
653,KITCHEN MUSTARD(KADUKU) 250G,1,37.75
654,KITCHEN FISH PICKLE 150G,1,83
655,KITCHEN PRAWN PICKLE GAR 150G,4,368
656,KITCHEN FENUGREEK(ULUVA) 250G,1,45
657,KITHCHEN GINGER GARLIC PASTE 100G,1,35
658,KITCHEN DATES PICKLE 400G,1,140
659,MALANADU MILK 500ML RED,38,"1,064.00"
660,RUCHIYIDAM MANGO BAR,2,130
661,ENJOY COCONUT BALLS 6 PCS,4,200
662,PAF SESAME ROUND WHITE CANDY 12 P,8,560
663,PAF PEANUT CUTING CANDY 100G,2,80
664,PAF PEANUT CANDY BALL,1,50
665,PAF SESAME ROUND BLACK CANDY 12 P,5,350
666,PAF MIXTURE ROUND CANDY C,2,130
667,PAF PLAM JAGGERY 300G,2,170
668,MALKIST CHEESE FLAVOURED 138G,1,50
669,"MALABAR""S  TOMATO MURUKKU 130G",11,550
670,"MALABAR""S  TAPIOCA CHIPS 170G",1,50
671,"MALABAR""S JACK FRUIT CHIPS 150G",4,240
672,HONEY BALLS 150G,2,60
673,TASTY CHAPPATHI 1NO,16,720
