Sl,Item,Quantity,Amount
146,MAGGI MASALA 560G,1,112
147,MALABAR CHEESE BALL,1,40
148,MANGO SHAKE,1,80
149,MARBLE CAKE 400G,6,960
150,MARBLE CAKE 800G,13,"4,160.00"
151,MARIES CORNFLAKES MIXTURE 179,2,100
152,MARIES MACRONI SWEETS,5,150
153,MARIES PEANUT CANDY 130G,11,385
154,MARIES PEANUT CANDY 240G,6,390
155,MARIES PEANUT CANDY70G,4,100
156,MARIES POPCORN 60G,1,25
157,MARIES SESAM BALL S WHITE 10 PCS,6,240
158,MARIES SESAM BALLS BLACK 10 PCS,5,200
159,MARIES SWEET BANANA CHIPS 150GM,11,770
160,MARIES TAPIOCA CHIPS CHILLI 170G,12,600
161,MARIES THATTA 130G,1,50
162,MARIES TOMATO MURUKKU 130G,6,300
163,MARIES UZHUNNADA 130G,2,100
164,MASALA BISCUIT 250G,18,"1,440.00"
165,MASALA BISCUIT 500G,3,480
166,MEAT ROLL 1NO,11,330
167,MELODY,6,10
168,MERCELYS FRUITBAR PINEAPPLE,25,250
169,MERCELYS LOLLY,46,460
170,MILK PEDA TIN,1,65
171,MILKMAID TIN 380G,10,"1,430.00"
172,MILKY MIST CURD 1LTR,3,414
173,MILKY MIST CURD 400G,65,"2,470.00"
174,MILKY MIST WHIP CREAM 250 ML,2,200
175,MILKYBAR MOULD 13.2G,50,500
176,MILMA CURD,3,105
177,MILMA MILK 500G,33,924
178,MINI PIZZA,3,150
179,MINT,10,10
180,MIXED FRUIT HALVA 1KG,1.15,287.5
181,MIXTURE,3,900
182,MOJOIES CHOCOLATE RS 5,11,55
183,MUNCH MAX,3,60
184,NABATI RICHEESE RS 10,25,250
185,NADAN KUZHALAPAM 200GM,41,"3,280.00"
186,NARANJA SWEAT PAC 1NO,1,10
187,NEERA 300ML,0.3,18
188,NEERA LTR,1,200
189,NEYYAPPAM 1NO,108,"1,296.00"
190,NIRAPARA PALADA MIX,1,79
191,NORMAL FALOODA,27,"2,720.00"
192,NORMAL FRUIT SALAD,14,930
193,NORMAL LIME,118,"2,360.00"
194,NUTRIN LOLLIPOP,60,120
195,ORBIT 1NO,23,115
196,OREO CHOCO,16,160
197,OREO SHAKE,22,"1,540.00"
198,PAF MIXTURE CANDY BALL,2,100
199,PAF PEANUT BAR CANDY 90 GM,3,120
200,PAPER GLASS 1NO,125,87.5
201,PAPER PLATE (SMALL) 1NO,100,100
202,PAPER PLATE 1NO,510,765
203,PAPER ROLL 1KG,0.82,82
204,PARIPPU VADA 1NO,76,912
205,PARLE HIDE & SEEK CHOCO ROLL,2,80
206,PARLE HIDE & SEEK CREAM ORANGE,5,150
207,PARLE HIDE & SEEK CREAM STRW,6,180
208,PARLE HIDE & SEEK CREAM VANILA,6,180
209,PEASTARY 1NO,11,330
210,PERUMJEERAKAM 1KG,0.1,40
211,PH LIVE KIWI CRNCHI CARMBIL,5,200
212,PINEAPPLE LIME,3,90
213,PLATHINSEON AVALOSUNDA 10NO,15,"1,200.00"
214,PLATHINSEON BEANS BISCUT,2,80
215,PLUM CAKE 400G,9,"1,440.00"
216,PLUM CAKE 800G,2,640
217,POPPINS,4,20
218,PRAN POTATO CREAM N ONION,3,75
219,PUFS 1NO,134,"2,680.00"
220,RICH BROWN BREAD 400G,1,40
221,RICH DAD BUTTERSCOTCH 1LTR,1,300
222,RICH DAD CHOCO,1,300
223,ROASTED PEANUT KG,2.05,676.5
224,ROUND BREAD 1NO,7,315
225,RUCHIYIDAM KACHA MANGO,1,65
226,RUSK 250G,5,246
227,RUSK 500G,145,"14,345.00"
228,SAMOSA,58,870
229,SANTHIGITI PAPPATAM,3,90
230,SHARJAH SHAKE,48,"2,890.00"
231,SLICE MANGO,60,600
232,SNICKERS SHAKE,2,180
233,SODA LIME,112,"2,240.00"
234,SPANISH DELIGHT ICE CREAM SHAKE,6,540
235,SPOON MIDIUM 1NO,300,150
236,SPRITE 1LTR,1,55
237,SUGAR LESS RUSK 250G,1,48
238,SUGAR LESS RUSK 500G,18,"1,670.00"
239,SUNFEAST ARROWROOT,2,60
240,SUNFEAST BOUNCE ELADHI,8,80
241,SUNFEAST DARK FANTACY CHOCO FILL,2,150
242,SUNFEAST DARK FANTACY CHOCOLATE,7,280
243,SUNFEAST DARK FANTACY VANILA,5,200
244,SUNFEAST MARIE LIGHT OATSFIBRE 20,3,90
245,SWEET NAN,21,378
246,TASTY CUP CAKES VANILLA 140G(6NOS),2,100
247,TASTY CUP CAKKE CHOCOLATE 140G(6,2,100
248,TATA COPPER WATER.,1,20
249,TEA,111,"1,665.00"
250,TEA BISCUITS 250G,5,275
251,TEA BISCUITS 500G,70,"7,700.00"
252,TEA RUSK 250G,6,600
253,TEA RUSK 500G,4,800
254,THAKKOLAM 1KG,0.01,10
255,TIC TAC,17,255
256,TISSUE PAPER,1,10
257,TOMATO MURUKKU,0.8,280
258,TROPICANA CRANBERRY,2,270
259,TROPICANA MIXED FRUIT,3,60
260,TROPICANA ORANGE,1,20
261,TROPICANA POMEGRANTE,22,440
262,ULLIVADA 1NO,25,300
263,UNCLE JOHN BALL  ICE 1 PCS,4,40
264,UNIBIC BUTTER CLASSIC 110G,1,30
265,UNIBIC CASHEW COOKIES,1,55
266,UNIBIC CHOCO CHIP 150G,1,55
267,UNIBIC CHOCO NUTS,8,440
268,UNIBIC DIGESTIVE COOKIES BUY ONE G,16,800
269,UNIBIC SNAPPERS INDI SPICE,1,75
270,UNIBIC WAFFERS CREAMY CHOCO,1,60
271,UNNIMADURAM 200G,15,750
272,UNNIYAPPAM 1KG,16,"3,840.00"
273,UNNIYAPPAM 1NO,20,240
274,UZHUNNUVADA 1NO,104,"1,248.00"
275,VADA,13,156
276,WINK SWISS PLUM,1,60
277,WINKIES SLICED FRUITICAKE,10,300
278,WINKIES SLICED PINEAPPLE,2,60
279,ZIB LOCK,24,192
280,ZIB LOCK 1NO,12,82
281,PVC CLING WARP 100MTRS,1,125
282,DREAM CAKE 400G,2,"1,296.75"
283,PUTHUMAS DATES WITH NUT 350G,2,540
284,PUTHUMAS DATE WITH BADAM 350G,1,270
285,BOUNTY 2X 28.5G,7,210
286,"MALABAR""S HONEY BALLS 20NOS.",4,120
287,MALANADU PASSION FRUIT SQUASH,2,560
288,CADBURY DAIRY MILK LICKABLES,5,225
289,CADBURY BOURNVITA BISCUIT 120G,11,385
290,CADBURY OREO VANILA,34,340
291,CADBURY DAIRY MILK CHOCO 25G,34,680
292,CADBURY DAIRY MILK MAHA PACK 52G,26,"1,040.00"
293,CADBURY BOURNVITA GAR 500G,3,735
294,CADBURY OREO CHOCOLATE 120G,2,70
295,CADBURY 5 STAR 20.5G,12,120
296,CADBURY CHOCOBAKE 150G,2,140
297,BOURNVITTA FIVE STAR MAGIC JAR 500,1,275
298,CADBURY GEMS 7.9G,158,790
299,CADBURY GEMS SURPRISE BOLL 15.8G,4,180
300,NUTELLA FERRERO 180G,8,"1,760.00"
301,KINDER JOY GIRLS 20G,51,"2,295.00"
302,KINDER CREAMY 19G,9,225
303,KINDER JOY BOYS 20G,73,"3,285.00"
304,PRAN POTATA SPICY BISCUIT 100G,40,"1,000.00"
305,PRINGLES POTATO CHIPS (RED)110G,3,345
306,PRINGLES POTATO CHIPS (GREEN) 110G,13,"1,495.00"
307,PRINGLES POTATO CHIPS(WHITE),1,115
