Sl,Item,Quantity,Amount
141,KF TOP CUP PANEER BUTTER,1,50
142,KF TOP CUP SPICED CHICKEN,5,250
143,KIDILAN SHARJAH,4,360
144,KISNA VINAGER 1LIT,2,50
145,KISSMISS GREEN 1KG,0.05,20
146,KITCHEN CORN PUTTU 500GM,1,48
147,KITCHEN GINGER GARLIC PASTE 100G,5,200
148,KITCHEN PUTTU PODI 1 KG,2,136
149,KITCHEN VERMICELLY PAYASAM MIX 30,1,82
150,KITKAT SHAKE,6,480
151,KITKAT SHARE BREAK 55G,1,45
152,KIWI CHOCOBAR,56,1120
153,KIWI CHOCOBAR WHITE,20,600
154,KIWI FUN TREAT ARABIAN DELIGHT,5,250
155,KIWI MANGOBAR,19,380
156,KIWI PUTTU ICECREAM,10,2990
157,KIWI ROYAL ARABIAN DELIGHT CONE,12,600
158,KIWI ROYAL BUTTERSCOTCH CONE,12,480
159,KIWI ROYAL CHOCOLATE CONE,12,480
160,KIWI ROYAL VANILA CONE,12,480
161,KOPICO,10,10
162,KURISHU BREAD 300G,14,700
163,KURISHU BREAD 500G,16,1280
164,KURKURE NAUGHTY TOMOTO,9,90
165,LADDU 1NO,94,1128
166,LAYS CREAM ONION,1,78
167,LAYS GOURNMET,6,180
168,LAYS HOT & SWEET,3,90
169,LAYS MAGIC MASALA,2,20
170,LAYS MAGIC MASALA  52G,7,140
171,LAZZA,2,420
172,LAZZA BUTTERSCOCH,2,550
173,LAZZA CHOCOBAR,11,280
174,LAZZA CUP VANILA,2,20
175,LIFE LINE BADAM,20,1000
176,LIFE LINE CASHEW,30,1500
177,LIFE LINE ORANGE,11,550
178,LIFE LINE VANILA,15,750
179,LILLY BLACK KISSMISS 100G,1,50
180,LOTTE CHOCO 1 PCS 25 G,70,700
181,LOTTE COFFY BITE 1NO,22,110
182,MACRONS BISCUT 250G,5,400
183,MAGGI MAS RS 55,56,3116
184,MAGGI MASALA 560G,2,221
185,MALKIST CHOCOLATE,1,6
186,MARBLE CAKE 400G,7,1120
187,MARBLE CAKE 800G,15,4800
188,MARIAS CUTMANGO 60G,1,10
189,MARIAS DATES PICKLE 200G,1,79
190,MARIAS FISH PICKLES 200G,1,109
191,MARIAS LEMON  60G,1,10
192,MARIAS PASSION FRUIT SQUASH,1,239
193,MARIES CORNFLAKES MIXTURE 179,1,50
194,MARIES FRYMES,1,25
195,MARIES JACK CHIPS 140G,8,560
196,MARIES MACRONI SWEETS,3,90
197,MARIES PEANUT CANDY 130G,7,245
198,MARIES PEANUT CANDY 240G,21,1365
199,MARIES PEANUT CANDY70G,3,75
200,MARIES SESAM BALL S WHITE 10 PCS,4,160
201,MARIES SESAM BALLS BLACK 10 PCS,4,160
202,MARIES SNACKS 140GM,1,40
203,MARIES SWEET BANANA CHIPS 150GM,1,70
204,MARIES TAPIOCA CHIPS CHILLI 170G,18,900
205,MARIES THATTA 130G,2,100
206,MARIES UZHUNNADA 130G,5,250
207,MASALA BISCUIT 250G,13,1040
208,MASALA BISCUIT 500G,12,1920
209,MEAT ROLL 1NO,15,450
210,MENTOS,25,25
211,MERCELYS FRUITBAR PINEAPPLE,25,250
212,MERCELYS LOLLY,48,480
213,MERCELYS SPANISH DELIGHT 1LTR,1,320
214,MERICREAM RED VELVET 500ML,2,300
215,MERIIBOY CHOCOBAR,19,480
216,MERIIBOY SPANISH DELIGHT 4LTR,1,750
217,MILK PEDA,13,78
218,MILK PEDA TIN,2,130
219,MILKMAID TIN 380G,3,432
220,MILKY MIST CURD 400G,34,1289
221,MILKY MIST CURD SET,1,35
222,MILKY MIST MOZZARELLA SHREDDED,1,1050
223,MILKY MIST WHIP CREAM 250 ML,1,100
224,MILKYBAR MOULD 13.2G,32,320
225,MILMA MILK 500G,64,1792
226,MILMA PEDA,10,60
227,MIRINDA 1.25L,2,130
228,MIXED FRUIT HALVA 1KG,1.35,337.5
229,MIXTURE,2.25,675
230,MOJOIES CHOCOLATE RS 5,179,895
231,MOMS MAGIC CASHEW & ALMD,1,25
232,MUESLI,1,180
233,NABATI PINK LAVA RS 10,4,40
234,NADAN CURD 500ML,4,140
235,NADAN GHEE 1 BOTTLE,1,600
236,NADAN KUZHALAPAM 200GM,34,2720
237,NARANJA SWEAT PAC 1NO,4,40
238,NEYYAPPAM 1NO,68,816
239,NORMAL FALOODA,12,1200
240,NORMAL FRUIT SALAD,14,1090
241,NORMAL LIME,148,2960
242,NUTRIN LOLLIPOP,2,4
243,ORBIT 1NO,19,95
244,OREO SHAKE,9,630
245,PAF MIXTURE CANDY BALL,3,150
246,PAF PEANUT BAR CANDY 90 GM,2,80
247,PAF PEANUT CANDY BALL,1,50
248,PALAZHY BIRIYANI MIX 1KG,1,180
249,PAPER GLASS 1NO,300,210
250,PAPER PLATE (SMALL) 1NO,20,20
251,PAPER SALT 250G,3,240
252,PAPPADAM MOHINI 1NO,7,210
253,PARIPPU VADA 1NO,83,996
254,PARLE HIDE & SEEK CREAM ORANGE,3,90
255,PARLE HIDE & SEEK CREAM STRW,3,90
256,PARTY BOX 4*4 1NO,300,1500
257,PEASTARY 1NO,2,60
258,PINEAPPLE LIME,1,30
259,PISTA ICE CREAM SHAKE,7,560
260,PLATHINSEON AVALOSUNDA 10NO,9,720
261,PLATHINSEON BEANS BISCUT,1,40
262,PLATHINSEON MURUKKUN 10 NO,5,220
263,PLUM BISCUT 250G,6,480
264,PLUM CAKE 400G,7,1120
265,PLUM CAKE 800G,1,320
266,PP COVER LOOS 1KG,0.16,32
267,PUFS 1NO,435,8700
268,PUNCHIRI POROTTA,2,190
269,RED LABEL 100G,4,100
270,RICH BROWN BREAD 400G,5,200
271,RICH PLUM CAKE 800G,1,550
272,RICH WHIPPING GOLD 2KG,1,520
273,ROASTED PEANUT KG,2.05,676.5
274,ROUND BREAD 1NO,9,405
275,ROYAL FRUITS SALAD,5,450
276,RUCHIYIDAM MANGO BAR 200,2,240
277,RUSK 250G,19,922
278,RUSK 500G,244,23375
279,SAMOSA,64,960
280,SANTHIGITI PAPPATAM,1,30
281,SAPPHIRE TRUFFLE,1,380
282,SHARJAH SHAKE,32,2080
283,SIPUP 1NO,2,10
284,SLICE MANGO,34,340
285,SMOODH HAZELNUT TP 85ML,14,140
286,SODA 1NO,1,10
287,SODA LIME,61,1220
288,SPANISH DELIGHT ICE CREAM SHAKE,5,450
289,SPRITE 1LTR,3,165
290,SRA MIXFRUIT JUICE,1,35
291,STING 250ML CAN,2,70
292,SUGAR LESS RUSK 500G,21,1890
293,SUNFEAST ARROWROOT,2,60
294,SUNFEAST BOUNCE ELADHI,4,40
295,SUNFEAST DARK FANTACY CHOCO FILL,3,225
296,SUNFEAST MARIE LIGHT OATSFIBRE 20,3,90
297,SUNFEAST MARIE LIGHT ORANGE,2,50
298,SUNFEAST MOMS MAGIC CASHEW & ALM,4,200
299,SUNFEAST MOMS MAGIC CASHEW/ALMO,12,1560
300,SUNFEAST MOMS MAGIC FRUIT & MILK,5,250
301,SWEET NAN,17,306
302,SWEET PUFS,7,140
